q_length,base,chlamydomonas_balanced,human,merged,rice_balanced
40,-5.63978055242681,-5.772585427427354,-5.715592855410936,-5.70503160072201,-5.5776683722375795
41,-5.691026852317541,-5.821413558401898,-5.7650683794340605,-5.755441711035537,-5.627327342737801
42,-5.744194158517898,-5.879065203595389,-5.825137513338668,-5.812887557088977,-5.680698643806591
43,-5.800796310022017,-5.9370327644746075,-5.878960903758808,-5.864956314008482,-5.7363376307154175
44,-5.852984030734852,-5.986846563744922,-5.926726444905008,-5.913313961251949,-5.7856201997994665
45,-5.904758585974597,-6.040411093867196,-5.977484415377034,-5.966154001296303,-5.836851089935456
46,-5.954777967390739,-6.091796443846127,-6.0292940617916075,-6.015565676330537,-5.888712923754942
47,-6.003476984143147,-6.142068727756051,-6.077614711831245,-6.0639080066857245,-5.937844359347153
48,-6.053954942418857,-6.187196367586217,-6.128261586483555,-6.117209340682014,-5.980056239655427
49,-6.108655812236905,-6.242879296791959,-6.179761951456615,-6.168258301813714,-6.025759154009443
50,-6.1524936052810455,-6.2901051846528295,-6.224723951601636,-6.2151969392911885,-6.076861902731608
51,-6.2031251697549585,-6.340836524064185,-6.2748439002491505,-6.258599899628697,-6.122297364920695
52,-6.24882406396485,-6.385525938811846,-6.322491739866969,-6.3137934742802795,-6.174399708586709
53,-6.298588628864577,-6.428196556073998,-6.374801462925744,-6.363127596639992,-6.214663919666235
54,-6.344631777695506,-6.481367687938909,-6.418931413204144,-6.409419098787204,-6.269033907716001
55,-6.401789150206064,-6.53249081793358,-6.474316228472237,-6.459865482967182,-6.319494337254257
56,-6.446688557541056,-6.57909031435535,-6.5177884926548675,-6.503570326237705,-6.369799966635424
57,-6.493291113567391,-6.622398264406053,-6.566641161191032,-6.552912580516679,-6.409742412411656
58,-6.537722586916523,-6.664844835886643,-6.613550785281824,-6.5978999452511005,-6.455126820579027
59,-6.582735517788624,-6.708814203698448,-6.65703757093344,-6.644098026193875,-6.4975448708673085
60,-6.626264050389899,-6.753428819086318,-6.703457773421082,-6.692820956547477,-6.5441854974184315
61,-6.670272482911418,-6.796083086964692,-6.746874890476864,-6.733647496682797,-6.5897619498657845
62,-6.707828873861864,-6.833826829399159,-6.78599275558233,-6.773335114931537,-6.630198489142175
63,-6.7511272815464185,-6.87215599767475,-6.824520353057791,-6.815849848987752,-6.672304610130944
64,-6.792954717622495,-6.910649731564573,-6.870431389241235,-6.855721658085134,-6.712049927748239
65,-6.83502397898481,-6.951114909161502,-6.913203634982589,-6.897441172377852,-6.753451287424687
66,-6.872087402847845,-6.990899816797501,-6.946736152731676,-6.935609753196986,-6.795647511609796
67,-6.911347037738145,-7.027180551040145,-6.988224098362123,-6.971709466161439,-6.835763429533999
68,-6.951227813661145,-7.06453623782808,-7.028866859785178,-7.01380665140171,-6.871567190108834
69,-6.979916913421446,-7.093954308666233,-7.061592561816435,-7.045434737348603,-6.908579196967775
70,-7.019530373580436,-7.136804503921363,-7.0953869049736245,-7.0830339169837275,-6.943410154456389
71,-7.057412183504489,-7.171567742045821,-7.132801825018347,-7.115478622611871,-6.980072347831037
72,-7.092418955580009,-7.2079328738040065,-7.170491316961081,-7.153054321957166,-7.016925914207197
