q_length,base,chlamydomonas_balanced,human,merged,rice_balanced
39,-1.0963628807923296,-1.0859696467224265,-1.081039213364352,-1.0859818249618827,-1.0992361731635771
40,-1.0869608124851733,-1.0761718403987794,-1.0708061083267373,-1.0773030793751348,-1.0889265412568219
41,-1.0763548948767876,-1.0664112502110934,-1.0615461643255495,-1.0666443663691982,-1.0789283386756316
42,-1.0671946795593779,-1.0563422390005806,-1.049699811055325,-1.0571403445781802,-1.0673598590899598
43,-1.0576149929243535,-1.0448771626562685,-1.0385107630045731,-1.046833316170451,-1.056785449897451
44,-1.0470873423764715,-1.0358846160046855,-1.0316302072377377,-1.0380537741626281,-1.0488669905025745
45,-1.0378082576290235,-1.0255405230373473,-1.021676165261924,-1.0271046434475555,-1.038517232108614
46,-1.0290545693337263,-1.0167411033272449,-1.0133383574838375,-1.0185369751518265,-1.0297516672545226
47,-1.019139884699784,-1.0081243256187957,-1.004810432954084,-1.0085047842145127,-1.0203033383389044
48,-1.010355825622261,-0.9999038931604571,-0.9967750698861922,-0.9989292257453379,-1.010916229626485
49,-1.0008570430103816,-0.9911333680069313,-0.9861701515495268,-0.9917312989620348,-1.0019813840572014
50,-0.9927939830241346,-0.981752097608632,-0.9784385378855296,-0.9830249235965312,-0.9923077072095821
51,-0.9836463075182048,-0.9743647149396168,-0.9706589163324068,-0.9749421501618286,-0.9857541571758656
52,-0.9774985624360852,-0.9657305581048907,-0.963910334079992,-0.9683977969631087,-0.9771952554098485
53,-0.9679226556211741,-0.9588184966782708,-0.9558328723319429,-0.9609220415788648,-0.9695154818636943
54,-0.9602386892914436,-0.9505568863117884,-0.947588949428001,-0.9526074127042208,-0.9616893727339988
55,-0.9505197380165895,-0.941367055660462,-0.9374039826755661,-0.9439235654455133,-0.9523058965692403
56,-0.9432062983997317,-0.9332757755070024,-0.9312980193682315,-0.9342730552100786,-0.9448741583337616
57,-0.9368651851452887,-0.9272710724901408,-0.9239519623704254,-0.9279040336217731,-0.9361144272200763
58,-0.9287692050205633,-0.9198898683996901,-0.9161207427174621,-0.9192432083802978,-0.9306725023798497
