model,q_length,seq_length,positions_scored,mean_score,mean_pll,total_score
rice_balanced,54,122,122,-6.269033907716001,-0.9616893727339988,-14531.62059808569
chlamydomonas_balanced,54,122,122,-6.481367687938909,-0.9505568863117884,-15023.810300642392
base,55,123,123,-6.401789150206064,-0.9505197380165895,-14960.981244031573
merged,55,123,123,-6.459865482967182,-0.9439235654455133,-15096.705633694306
human,55,123,123,-6.474316228472237,-0.9374039826755661,-15130.477025939617
rice_balanced,55,123,123,-6.319494337254257,-0.9523058965692403,-14768.658266163198
chlamydomonas_balanced,55,123,123,-6.53249081793358,-0.941367055660462,-15266.431041510776
base,56,124,124,-6.446688557541056,-0.9432062983997317,-15188.398241566727
merged,56,124,124,-6.503570326237705,-0.9342730552100786,-15322.411688616034
human,56,124,124,-6.5177884926548675,-0.9312980193682315,-15355.909688694868
rice_balanced,56,124,124,-6.369799966635424,-0.9448741583337616,-15007.248721393058
chlamydomonas_balanced,56,124,124,-6.57909031435535,-0.9332757755070024,-15500.336780621205
base,57,125,125,-6.493291113567391,-0.9368651851452887,-15421.566394722555
merged,57,125,125,-6.552912580516679,-0.9279040336217731,-15563.167378727114
human,57,125,125,-6.566641161191032,-0.9239519623704254,-15595.772757828701
rice_balanced,57,125,125,-6.409742412411656,-0.9361144272200763,-15223.138229477685
chlamydomonas_balanced,57,125,125,-6.622398264406053,-0.9272710724901408,-15728.195877964376
base,58,126,126,-6.537722586916523,-0.9287692050205633,-15651.307873078156
merged,58,126,126,-6.5978999452511005,-0.9192432083802978,-15795.372468931135
human,58,126,126,-6.613550785281824,-0.9161207427174621,-15832.840579964686
rice_balanced,58,126,126,-6.455126820579027,-0.9306725023798497,-15453.573608466191
chlamydomonas_balanced,58,126,126,-6.664844835886643,-0.9198898683996901,-15955.638537112623
base,59,127,127,-6.582735517788624,-0.9204611715706666,-15884.14080442395
merged,59,127,127,-6.644098026193875,-0.9145124392037639,-16032.20853720582
human,59,127,127,-6.65703757093344,-0.9095980573526224,-16063.43165866239
rice_balanced,59,127,127,-6.4975448708673085,-0.9241407224303478,-15678.575773402816
chlamydomonas_balanced,59,127,127,-6.708814203698448,-0.9124512836725752,-16188.368673524354
base,60,128,128,-6.626264050389899,-0.9142895325403515,-16115.074170548236
merged,60,128,128,-6.692820956547477,-0.906632884629289,-16276.940566323465
human,60,128,128,-6.703457773421082,-0.9026453160331585,-16302.809304960072
rice_balanced,60,128,128,-6.5441854974184315,-0.9160426995640591,-15915.459129721625
chlamydomonas_balanced,60,128,128,-6.753428819086318,-0.905185563784471,-16424.338888017926
base,61,129,129,-6.670272482911418,-0.907425197103068,-16348.837855615886
merged,61,129,129,-6.733647496682797,-0.8985485872921585,-16504.170014369534
human,61,129,129,-6.746874890476864,-0.8949734926198486,-16536.590356558794
rice_balanced,61,129,129,-6.5897619498657845,-0.9079646834825679,-16151.506539121037
chlamydomonas_balanced,61,129,129,-6.796083086964692,-0.8983748204367192,-16657.19964615046
base,62,130,130,-6.707828873861864,-0.899426863132976,-16568.337318438804
merged,62,130,130,-6.773335114931537,-0.8911733247232265,-16730.137733880896
human,62,130,130,-6.78599275558233,-0.8864995488861146,-16761.402106288355
rice_balanced,62,130,130,-6.630198489142175,-0.8998846047736991,-16376.590268181171
chlamydomonas_balanced,62,130,130,-6.833826829399159,-0.8915844368461806,-16879.552268615924
base,63,131,131,-6.7511272815464185,-0.8902602298380736,-16803.555803769035
merged,63,131,131,-6.815849848987752,-0.8824617932017409,-16964.650274130516
human,63,131,131,-6.824520353057791,-0.8800713492962638,-16986.231158760842
rice_balanced,63,131,131,-6.672304610130944,-0.8927085548070551,-16607.36617461592
chlamydomonas_balanced,63,131,131,-6.87215599767475,-0.8825130149640342,-17104.796278212452
base,64,132,132,-6.792954717622495,-0.8842659353536102,-17036.730431797216
merged,64,132,132,-6.855721658085134,-0.877977127219889,-17194.149918477517
human,64,132,132,-6.870431389241235,-0.8729342267809747,-17231.041924217017
